file_name,start_time,timestamp,sport,sub_sport,distance_km,duration_min,pace_min_km,total_ascent,total_descent,avg_heart_rate,max_heart_rate,min_heart_rate,avg_running_cadence,max_running_cadence,enhanced_avg_speed,enhanced_max_speed,avg_temperature,total_calories,total_strides
463541086168580100.fit,2024-09-20 08:50:20,2024-09-20 09:37:35,running,nan,7.9845,47.23883333333333,5.916317030914063,21.0,19.0,159.0,176,94.0,82.0,85.0,2.817,3.165,26.0,697,3915.0
463610484250148864.fit,2024-09-23 08:46:48,2024-09-23 09:26:53,running,nan,6.70097,40.0905,5.982790551218704,15.0,16.0,163.0,180,92.0,83.0,86.0,2.786,3.145,24.0,607,3351.0
463635039651921920.fit,2024-09-24 09:11:24,2024-09-24 10:47:22,running,nan,17.514020000000002,95.9625,5.479181821192393,47.0,47.0,173.0,189,103.0,82.0,106.0,3.042,4.032,26.0,1612,7971.0
463711797696823300.fit,2024-09-27 17:02:12,2024-09-27 18:14:46,running,nan,4.50783,27.180166666666665,6.029545627644934,26.0,33.0,148.0,176,70.0,81.0,102.0,2.764,3.311,20.0,379,2200.0
463755317258256389.fit,2024-09-29 14:28:33,2024-09-29 15:15:56,running,nan,7.41892,46.91616666666666,6.323853966165784,57.0,58.0,147.0,192,80.0,83.0,89.0,2.636,4.065,21.0,618,3923.0
463802627935731726.fit,2024-10-01 15:38:56,2024-10-01 16:16:50,running,nan,6.6536800000000005,37.8975,5.695720263072465,24.0,24.0,161.0,185,97.0,84.0,87.0,2.926,3.546,24.0,576,3203.0
463844077320830977.fit,2024-10-03 10:40:12,2024-10-03 11:10:19,running,nan,5.3032200000000005,30.1145,5.678531156542628,4.0,8.0,170.0,193,91.0,84.0,88.0,2.935,3.717,26.0,496,2519.0
463909165134282753.fit,2024-10-06 06:22:39,2024-10-06 06:30:56,running,nan,1.03716,7.748,7.47039993829303,4.0,3.0,143.0,161,116.0,80.0,98.0,2.231,3.021,21.0,97,611.0
463911325771268098.fit,2024-10-06 06:59:43,2024-10-06 08:45:14,running,nan,21.300459999999998,105.48283333333333,4.952138748803234,71.0,76.0,178.0,191,100.0,82.0,89.0,3.366,3.817,19.0,1876,8750.0
464009766423789571.fit,2024-10-10 13:49:20,2024-10-10 14:33:04,running,nan,7.1526000000000005,43.732,6.1141403126135945,19.0,30.0,150.0,161,115.0,83.0,87.0,2.726,3.021,25.0,591,3649.0
464075745440858114.fit,2024-10-13 09:51:22,2024-10-13 10:48:38,running,nan,9.80837,57.27333333333333,5.839230507549504,22.0,22.0,163.0,175,83.0,83.0,88.0,2.854,3.155,27.0,870,4795.0
464190181891670019.fit,2024-10-18 08:43:28,2024-10-18 09:19:18,running,nan,6.70793,35.83616666666667,5.3423584722360955,5.0,7.0,176.0,199,82.0,85.0,91.0,3.12,4.202,23.0,609,3082.0
464237926897713158.fit,2024-10-20 09:40:23,2024-10-20 10:43:45,running,nan,10.70359,63.36216666666667,5.919711673061717,39.0,42.0,163.0,183,93.0,84.0,91.0,2.815,3.155,25.0,954,5386.0
464286475595317250.fit,2024-10-22 12:21:30,2024-10-22 12:57:58,running,nan,6.45817,36.4715,5.64734282312172,8.0,7.0,152.0,167,84.0,83.0,87.0,2.951,3.226,25.0,491,3064.0
464305783891329026.fit,2024-10-23 08:12:29,2024-10-23 08:56:49,running,nan,7.82999,44.32666666666667,5.6611396268279615,9.0,9.0,162.0,193,90.0,85.0,92.0,2.944,4.274,22.0,660,3786.0
464562597969035271.fit,2024-11-03 10:03:06,2024-11-03 10:41:51,running,nan,7.0047299999999995,38.757666666666665,5.533070748860651,8.0,6.0,167.0,179,101.0,82.0,86.0,3.012,3.226,22.0,623,3234.0
464589301122891780.fit,2024-11-04 13:03:06,2024-11-04 13:45:44,running,nan,8.00737,42.61833333333333,5.322388416338115,9.0,7.0,167.0,184,98.0,82.0,85.0,3.131,3.472,24.0,687,3514.0
464631804924559363.fit,2024-11-06 09:35:20,2024-11-06 10:15:08,running,nan,7.54732,39.79766666666667,5.273085898923945,4.0,7.0,170.0,195,92.0,81.0,85.0,3.161,3.968,21.0,665,3291.0
464770902274375687.fit,2024-11-12 09:40:45,2024-11-12 10:15:13,running,nan,6.261850000000001,34.47083333333333,5.504896050421733,6.0,6.0,173.0,183,95.0,82.0,86.0,3.028,3.226,18.0,592,2880.0
464911706603159554.fit,2024-11-18 10:39:21,2024-11-18 11:57:29,running,nan,13.23601,78.0515,5.896905487378749,15.0,15.0,160.0,173,83.0,80.0,99.0,2.826,3.378,19.0,1200,6244.0
464959152031039492.fit,2024-11-20 12:29:04,2024-11-20 13:03:12,running,nan,6.18021,34.1325,5.5228705820676,7.0,9.0,159.0,172,104.0,82.0,87.0,3.018,3.484,20.0,520,2861.0
465050314859380748.fit,2024-11-24 10:38:54,2024-11-24 11:23:28,running,trail,6.7198400000000005,44.56183333333333,6.631383088486233,206.0,205.0,170.0,197,115.0,78.0,101.0,2.513,3.584,24.0,567,3486.0
465095952913432579.fit,2024-11-26 09:36:59,2024-11-26 10:37:01,running,nan,10.67936,60.027833333333334,5.620920479629241,7.0,7.0,167.0,181,103.0,81.0,86.0,2.965,3.413,20.0,979,4929.0
465123143546077188.fit,2024-11-27 14:06:40,2024-11-27 14:45:20,running,nan,7.24605,38.66466666666667,5.3359646520058055,18.0,30.0,163.0,181,106.0,82.0,86.0,3.123,3.571,22.0,609,3249.0
466046385165205510.fit,2025-01-06 09:32:41,2025-01-06 10:07:43,running,nan,5.40739,35.03916666666667,6.479866750255977,42.0,44.0,161.0,183,94.0,78.0,81.0,2.572,2.985,24.0,539,2773.0
466187216872308752.fit,2025-01-12 11:15:40,2025-01-12 11:51:42,running,nan,6.12674,36.02916666666667,5.880642342692307,32.0,24.0,176.0,191,93.0,80.0,124.0,2.834,3.175,18.0,636,2896.0
466233759019073543.fit,2025-01-14 09:20:41,2025-01-14 09:55:21,running,nan,5.79545,34.660999999999994,5.980726259393144,33.0,33.0,166.0,184,111.0,80.0,83.0,2.787,3.04,17.0,562,2782.0
466278706657132548.fit,2025-01-16 09:53:57,2025-01-16 10:27:05,running,nan,5.5666400000000005,33.13883333333333,5.953112350238802,22.0,21.0,168.0,184,97.0,79.0,82.0,2.8,3.226,17.0,552,2635.0
466349366651682836.fit,2025-01-19 10:48:17,2025-01-19 11:39:14,running,nan,8.44377,49.10066666666667,5.8150170678105475,38.0,48.0,167.0,182,115.0,80.0,84.0,2.866,3.509,15.0,819,3947.0
466418230546694151.fit,2025-01-22 09:58:00,2025-01-22 10:30:36,running,nan,5.600149999999999,32.608666666666664,5.822820222077385,21.0,20.0,168.0,185,94.0,80.0,84.0,2.862,3.021,21.0,537,2707.0
466488297303080964.fit,2025-01-25 10:28:02,2025-01-25 11:25:07,running,nan,9.352129999999999,57.070166666666665,6.1023709750256545,14.0,9.0,167.0,178,90.0,80.0,85.0,2.731,2.924,24.0,932,4687.0
466511279670984707.fit,2025-01-26 10:31:38,2025-01-26 11:12:07,running,nan,7.3321499999999995,40.47183333333333,5.519777054933864,6.0,17.0,169.0,188,114.0,81.0,84.0,3.019,3.636,20.0,675,3327.0
466556709421219853.fit,2025-01-28 09:37:34,2025-01-28 10:12:39,running,nan,6.16481,35.07166666666667,5.689010150623729,27.0,19.0,164.0,182,96.0,81.0,86.0,2.93,3.3,21.0,590,2873.0
466650865036460039.fit,2025-02-01 10:28:43,2025-02-01 11:38:32,running,nan,12.085930000000001,69.80883333333333,5.776041507218172,149.0,160.0,161.0,178,140.0,80.0,83.0,2.885,3.367,17.0,1075,5656.0
467182867066159111.fit,2025-02-24 09:34:53,2025-02-24 10:07:04,running,nan,5.267810000000001,32.19383333333334,6.111426443499924,7.0,7.0,169.0,180,106.0,79.0,82.0,2.727,3.268,20.0,534,2556.0
467230053185388547.fit,2025-02-26 10:17:47,2025-02-26 10:48:46,running,nan,5.298979999999999,30.543499999999998,5.764033832926337,5.0,6.0,166.0,176,92.0,80.0,84.0,2.891,3.356,20.0,499,2469.0
467276219522514945.fit,2025-02-28 10:11:52,2025-02-28 10:42:07,running,nan,5.14419,30.248333333333335,5.880096445374944,5.0,5.0,162.0,169,101.0,79.0,82.0,2.834,3.3,19.0,473,2431.0
468458593685897220.fit,2025-04-20 09:43:37,2025-04-20 10:17:17,running,nan,5.38683,33.6695,6.250336468758063,26.0,25.0,163.0,177,104.0,78.0,81.0,2.667,2.941,26.0,529,2662.0
468512200783331328.fit,2025-04-22 17:00:07,2025-04-22 17:45:08,running,nan,6.2665500000000005,41.0295,6.5473825310577585,22.0,14.0,151.0,171,98.0,76.0,80.0,2.546,3.333,24.0,565,3208.0
468559129741393938.fit,2025-04-24 16:55:54,2025-04-24 17:32:15,running,nan,5.49236,36.08833333333334,6.570642371099735,28.0,39.0,144.0,165,115.0,76.0,89.0,2.537,3.067,20.0,474,2805.0
468605327217033220.fit,2025-04-26 16:25:43,2025-04-26 17:11:20,running,nan,7.45605,45.61366666666667,6.117671778846261,13.0,10.0,156.0,170,87.0,79.0,91.0,2.724,4.587,24.0,660,3598.0
468651982104592405.fit,2025-04-28 17:11:06,2025-04-28 17:38:56,running,nan,4.42541,27.835833333333333,6.290001001790418,10.0,12.0,149.0,162,95.0,78.0,83.0,2.65,3.058,28.0,376,2125.0
468674485046771728.fit,2025-04-29 16:39:54,2025-04-29 17:41:23,running,nan,10.509709999999998,61.48383333333334,5.850193138852865,137.0,146.0,163.0,181,123.0,79.0,83.0,2.849,3.509,28.0,952,4892.0
468721867125981190.fit,2025-05-01 17:46:09,2025-05-01 18:20:30,running,nan,6.00458,34.341833333333334,5.719273177030423,7.0,8.0,157.0,181,100.0,80.0,83.0,2.914,3.436,27.0,504,2779.0
468767664095920129.fit,2025-05-03 17:31:45,2025-05-03 18:06:08,running,nan,5.942489999999999,34.375,5.784612174357887,22.0,22.0,156.0,175,119.0,78.0,81.0,2.881,3.236,23.0,497,2697.0
468813380801560576.fit,2025-05-05 16:45:45,2025-05-05 17:25:11,running,nan,6.88501,39.383500000000005,5.720180508089314,4.0,6.0,152.0,182,84.0,80.0,87.0,2.914,4.545,19.0,551,3166.0
468861115068088329.fit,2025-05-07 17:15:18,2025-05-07 17:57:35,running,nan,6.49771,42.29366666666667,6.509011123406041,11.0,9.0,144.0,181,90.0,76.0,86.0,2.56,3.953,19.0,541,3230.0
468930473687547908.fit,2025-05-10 16:50:11,2025-05-10 17:25:19,running,nan,6.22489,35.138000000000005,5.644758381272601,7.0,7.0,155.0,171,94.0,80.0,85.0,2.952,3.3,26.0,509,2830.0
468946235143782402.fit,2025-05-11 09:49:20,2025-05-11 10:53:52,running,nan,10.99975,64.54783333333333,5.868118214807912,140.0,146.0,160.0,179,97.0,80.0,84.0,2.84,3.268,26.0,973,5222.0
468997109568274443.fit,2025-05-13 14:39:19,2025-05-13 15:32:30,running,nan,8.84076,52.70066666666666,5.9611013834406394,3.0,3.0,153.0,170,93.0,79.0,143.0,2.796,4.975,29.0,740,4201.0
469084910244626443.fit,2025-05-17 09:26:40,2025-05-17 10:23:59,running,nan,10.226479999999999,57.26616666666666,5.599792564662198,7.0,8.0,163.0,182,91.0,80.0,84.0,2.976,3.788,27.0,898,4582.0
