start_time,timestamp,sport,total_elapsed_time,total_timer_time,total_distance,total_ascent,total_descent,total_calories,total_strides,max_running_cadence,avg_running_cadence,avg_step_length,max_heart_rate,min_heart_rate,avg_heart_rate,enhanced_max_speed,max_speed,enhanced_avg_speed,avg_speed,avg_power,avg_stance_time,avg_stance_time_balance,avg_vertical_oscillation,avg_vertical_ratio,Effort Pace,file_name,sub_sport,max_cadence,avg_cadence,max_power,total_work,normalized_power,avg_temperature
2025-01-20 11:19:18+00:00,2025-01-20 11:55:13+00:00,training,2154.77,2114.72,0.0,,,157,,,,,129,65,94.0,,,,,,,,,,,466372815562506246.fit,strength_training,,,,,,31.0
2025-01-23 11:28:58+00:00,2025-01-23 11:53:03+00:00,training,1444.97,1385.1,0.0,,,131,,,,,133,69,99.0,,,,,,,,,,,466442394569572357.fit,strength_training,,,,,,29.0
2025-01-27 11:28:34+00:00,2025-01-27 11:57:26+00:00,training,1731.98,1589.48,0.0,,,133,,,,,120,66,94.0,,,,,,,,,,,466535239685013512.fit,strength_training,,,,,,30.0
2025-01-29 10:36:19+00:00,2025-01-29 10:59:36+00:00,training,1396.93,1351.0,0.0,,,118,,,,,134,66,94.0,,,,,,,,,,,466580686610923521.fit,strength_training,,,,,,30.0
2025-02-26 10:17:47+00:00,2025-02-26 10:48:46+00:00,running,1858.51,1832.61,5298.98,5.0,6.0,499,2469.0,84.0,80.0,1080.0,176,92,166.0,3.356,3.356,2.891,2.891,230.0,0.0,0.0,0.0,0.0,2.8980000019073486,467230053185388547.fit,,,,,,,20.0
2025-04-22 17:00:07+00:00,2025-04-22 17:45:08+00:00,running,2701.23,2461.77,6266.55,22.0,14.0,565,3208.0,80.0,76.0,1000.0,171,98,151.0,3.333,3.333,2.546,2.546,202.0,0.0,0.0,0.0,0.0,2.5769999027252197,468512200783331328.fit,,,,,,,24.0
2025-04-24 16:55:54+00:00,2025-04-24 17:32:15+00:00,running,2180.99,2165.3,5492.36,28.0,39.0,474,2805.0,89.0,76.0,1000.0,165,115,144.0,3.067,3.067,2.537,2.537,200.0,0.0,0.0,0.0,0.0,2.556999921798706,468559129741393938.fit,,,,,,,20.0
2025-04-28 18:36:17+00:00,2025-04-28 18:42:33+00:00,cycling,375.94,374.15,2511.11,0.0,3.0,56,,,,,165,101,137.0,9.289,9.289,6.711,6.711,0.0,,,,,,468652272549658635.fit,road,0.0,0.0,0.0,0.0,0.0,24.0
2025-05-05 16:45:45+00:00,2025-05-05 17:25:11+00:00,running,2365.9,2363.01,6885.01,4.0,6.0,551,3166.0,87.0,80.0,1090.0,182,84,152.0,4.545,4.545,2.914,2.914,228.0,0.0,0.0,0.0,0.0,2.9149999618530273,468813380801560576.fit,,,,,,,19.0
2025-05-13 14:39:19+00:00,2025-05-13 15:32:30+00:00,running,3190.06,3162.04,8840.76,3.0,3.0,740,4201.0,143.0,79.0,1060.0,170,93,153.0,4.975,4.975,2.796,2.796,221.0,0.0,0.0,0.0,0.0,2.8010001182556152,468997109568274443.fit,,,,,,,29.0
2025-05-17 09:26:40+00:00,2025-05-17 10:23:59+00:00,running,3439.05,3435.97,10226.48,7.0,8.0,898,4582.0,84.0,80.0,1120.0,182,91,163.0,3.788,3.788,2.976,2.976,235.0,0.0,0.0,0.0,0.0,2.9760000705718994,469084910244626443.fit,,,,,,,27.0
2025-05-17 11:27:32+00:00,2025-05-17 13:06:38+00:00,cycling,5945.53,4137.69,19631.54,112.0,32.0,539,,,,,162,96,126.0,7.942,7.942,4.744,4.744,0.0,,,,,,469087543864885253.fit,road,0.0,0.0,0.0,0.0,0.0,27.0
2025-05-17 14:32:20+00:00,2025-05-17 15:39:56+00:00,cycling,4056.42,3976.09,21394.15,27.0,110.0,454,,,,,146,86,117.0,12.742,12.742,5.381,5.381,0.0,,,,,,469089997633388564.fit,road,0.0,0.0,0.0,0.0,0.0,29.0
2025-05-21 17:25:14+00:00,2025-05-21 18:13:19+00:00,running,2884.5,2880.64,8911.78,3.0,3.0,751,3864.0,86.0,80.0,1150.0,184,95,163.0,4.219,4.219,3.094,3.094,244.0,0.0,0.0,0.0,0.0,3.0950000286102295,469185239606919175.fit,,,,,,,23.0
2025-05-26 16:28:42+00:00,2025-05-26 17:12:48+00:00,running,2645.99,2517.81,7094.38,10.0,11.0,572,3292.0,83.0,77.0,1090.0,167,72,149.0,3.3,3.3,2.818,2.818,221.0,0.0,0.0,0.0,0.0,2.8239998817443848,469300324327260184.fit,,,,,,,25.0
2025-06-01 17:47:25+00:00,2025-06-01 18:43:00+00:00,running,3334.82,3323.68,9610.81,139.0,143.0,756,4382.0,83.0,79.0,1100.0,171,98,150.0,3.788,3.788,2.892,2.892,234.0,0.0,0.0,0.0,0.0,3.0759999752044678,469440838477316103.fit,,,,,,,27.0
2025-06-14 11:06:42+00:00,2025-06-14 14:35:15+00:00,hiking,12512.6,9039.07,9426.32,418.0,443.0,1020,,,,690.0,175,72,117.0,2.658,2.658,1.042,1.042,0.0,0.0,0.0,0.0,0.0,,469741432503042056.fit,,116.0,45.0,,,,34.0
2025-06-17 17:30:32+00:00,2025-06-17 18:25:49+00:00,running,3317.33,3139.67,8765.93,7.0,12.0,676,4139.0,119.0,77.0,1080.0,162,68,145.0,3.115,3.115,2.792,2.792,220.0,0.0,0.0,0.0,0.0,2.7929999828338623,469812547229351945.fit,,,,,,,30.0
2025-06-17 18:29:38+00:00,2025-06-17 18:35:06+00:00,training,327.79,326.29,0.0,,,72,,,,,163,98,130.0,,,,,,,,,,,469812547229351947.fit,strength_training,,,,,,30.0
2025-06-22 07:07:29+00:00,2025-06-22 08:35:59+00:00,generic,5309.15,5293.23,162.64,0.0,1.0,682,,,,40.0,154,98,126.0,1.908,1.908,0.031,0.031,0.0,0.0,0.0,0.0,0.0,,469918110544068616.fit,,19.0,79.0,,,,30.0
2025-07-20 10:59:35+00:00,2025-07-20 11:37:13+00:00,running,2258.13,2238.19,6225.84,16.0,13.0,626,2971.0,84.0,79.0,1050.0,184,113,171.0,3.289,3.289,2.782,2.782,220.0,0.0,0.0,0.0,0.0,2.8010001182556152,470570428568469606.fit,,,,,,,33.0
2025-07-22 18:38:30+00:00,2025-07-22 19:42:06+00:00,running,3816.2,3130.3,9045.52,17.0,12.0,743,4096.0,84.0,79.0,1100.0,184,87,154.0,4.831,4.831,2.89,2.89,229.0,0.0,0.0,0.0,0.0,2.9059998989105225,470624625953374215.fit,,,,,,,26.0
2025-08-08 18:14:29+00:00,2025-08-08 19:25:54+00:00,running,4285.08,4257.94,11847.16,90.0,90.0,1129,5546.0,87.0,78.0,1070.0,192,90,165.0,4.95,4.95,2.782,2.782,223.0,0.0,0.0,0.0,0.0,2.9230000972747803,471018655379915053.fit,,,,,,,31.0
2025-08-12 18:06:32+00:00,2025-08-12 19:02:42+00:00,running,3369.41,3366.57,9331.51,89.0,88.0,807,4422.0,92.0,79.0,1050.0,183,95,155.0,5.263,5.263,2.772,2.772,226.0,0.0,0.0,0.0,0.0,2.9230000972747803,471111041200193539.fit,,,,,,,33.0
